time,latitude,longitude,depth,mag,magType
2015-04-25T08:16:59.230Z,27.7014,85.7563,10,4.9,mb
2015-04-25T08:05:37.950Z,27.8132,85.7943,10,4.6,mb
2015-04-25T07:59:14.660Z,27.8426,85.7676,10,4.4,mb
2015-04-25T07:55:44.070Z,27.846,85.4875,10,4.4,mb
2015-04-25T07:47:01.480Z,27.8172,85.5955,10,5,mb
2015-04-25T07:39:33.970Z,27.6821,85.7383,10,4.5,mb
2015-04-25T07:34:55.190Z,27.9633,85.6099,10,4.3,mb
2015-04-25T07:33:47.410Z,27.6891,84.9918,10,4.3,mb
2015-04-25T07:23:38.520Z,27.8053,85.8924,10,4.4,mb
2015-04-25T07:22:55.740Z,27.8854,85.8478,10,4.2,mb
2015-04-25T07:20:24.230Z,27.7574,85.3405,10,4,mb
2015-04-25T07:16:55.060Z,27.8818,85.6791,10,4.7,mb
2015-04-25T07:13:44.150Z,27.615,85.7307,10,4.8,mb
2015-04-25T07:07:59.920Z,27.7879,85.914,10,4.9,mb
2015-04-25T07:05:28.010Z,27.9482,85.5837,10,4.3,mb
2015-04-25T07:05:00.930Z,28.029,85.3682,10,4.2,mb
2015-04-25T07:03:49.750Z,27.964,84.6843,10,4.4,mb
2015-04-25T07:03:09.350Z,27.4173,86.0237,10,4.4,mb
2015-04-25T06:58:27.570Z,27.7219,86.0061,10,5.1,mb
2015-04-25T06:56:33.860Z,27.8822,85.7505,10,5.5,mb
2015-04-25T06:53:42.750Z,27.672,85.2009,10,5,mb
2015-04-25T06:45:21.320Z,28.2244,84.8216,10,6.6,mww
2015-04-25T06:44:39.040Z,27.5862,85.5012,10,4.6,mb
2015-04-25T06:37:58.690Z,27.7435,85.8302,10,5.1,mb
2015-04-25T06:32:48.870Z,27.7244,85.9479,10,4.6,mb
2015-04-25T06:29:46.130Z,27.8478,85.0717,10,4.7,mb
2015-04-25T06:28:05.780Z,27.7006,85.5043,10,4.8,mb
2015-04-25T06:25:55.260Z,27.687,85.5854,10,5,mb
2015-04-25T06:22:02.750Z,27.8006,85.1141,10,5.1,mb
2015-04-25T06:20:40.340Z,28.2046,84.492,10,5.4,mb
2015-04-25T06:18:10.870Z,27.6857,86.0213,10,5.6,mb
2015-04-25T06:15:22.910Z,27.6285,85.5398,10,6.1,mb
2015-04-25T06:11:25.950Z,28.2305,84.7314,8.22,7.8,mww
2015-04-22T01:29:09.390Z,28.9068,82.5414,10,4.4,mb
2015-04-21T14:02:15.550Z,28.8947,82.3938,10,5,mb
2015-04-02T00:56:38.960Z,28.7007,86.3309,57.33,4.6,mb
2015-04-01T21:23:54.400Z,30.3521,79.5107,10,4.9,mb
2015-02-14T00:44:36.430Z,31.3449,80.3877,32.72,4.2,mb
2015-02-13T22:21:52.220Z,31.215,80.3855,29.91,4.1,mb
2015-01-31T13:59:45.250Z,28.2987,83.9732,32.41,4.8,mb
2015-01-22T03:42:38.040Z,29.3853,81.0522,40.66,4,mb
2015-01-05T19:41:44.280Z,28.8652,81.6126,34.47,4.2,mb
2014-12-26T07:08:09.590Z,28.5278,87.3541,57.27,4.9,mb
2014-12-18T15:32:12.950Z,27.7395,86.3702,33.6,5,mb
2014-12-06T04:27:42.580Z,30.6685,80.0267,10,4.1,mb
2014-11-25T15:49:07.720Z,28.2061,84.7414,21.05,4.4,mb
2014-11-17T02:06:37.150Z,27.5222,90.3078,31.87,4.2,mb
2014-10-29T13:57:16.430Z,31.0958,86.5364,29.52,4.3,mb
2014-10-01T18:52:43.750Z,30.4289,82.1111,44.3,4.2,mb
2014-08-29T11:01:21.720Z,29.8382,87.8748,25.32,4.2,mb
2014-08-24T08:29:31.740Z,30.0384,79.9591,10,4.4,mb
2014-08-22T15:59:36.390Z,28.0356,87.7815,59.96,4.4,mb
2014-08-03T05:57:30.560Z,29.2757,85.4967,10,5.2,mb
2014-08-03T05:46:22.020Z,29.1576,85.322,10,4.3,mb
2014-07-22T23:35:15.370Z,26.2364,89.5355,14.91,4,mb
2014-07-22T22:58:29.150Z,26.0259,89.5651,8.4,4.2,mb
2014-07-22T20:54:41.200Z,26.0035,89.7033,16.03,4.3,mb
2014-07-11T23:05:23.300Z,30.9429,86.3943,12.25,4.1,mb
2014-07-07T16:37:12.900Z,29.4202,81.099,16.32,4.4,mb
2014-07-06T14:48:13.060Z,30.3227,80.3415,43.73,4.1,mb
2014-07-03T11:35:00.300Z,30.2451,80.3384,35,4,mb
2014-06-13T16:16:26.220Z,29.3624,86.2519,15.43,4,mb
2014-06-11T00:48:25.160Z,31.3833,86.3077,10,4,mb
